business_id|insertedAtTimestamp|name|address|coordinates|number_of_reviews|rating|zip_code|cuisine
0s8rxDQhglhh28BLz-80qw|2024-10-17 21:27:51.381214|Mysttik Masaala|90 Park Ave, Corner of 40th Street, New York, NY 10016|40.75074,-73.97936|26|4.4|10016|Indian
zi4fUgOwwGB5PYR2xq0OCQ|2024-10-17 21:27:51.381233|Namaste India|880 River Rd, Edgewater, NJ 07020|40.82533,-73.97495|340|4.2|07020|Indian
zyQpS4QrYYB0VKXf7JPUlQ|2024-10-17 21:27:51.381249|Atithi Indian Cuisine|159 Grand St, Brooklyn, NY 11249|40.714765,-73.961606|247|4.7|11249|Indian
MtZaEGCm6zdAV8W4TWlerQ|2024-10-17 21:27:51.381265|Masti Indian Grill & Chatt Bar|184 Havemeyer St, New York, NY 11211|40.710625,-73.9583|138|4.6|11211|Indian
9x95RpLEIDRWG2Y9w4qz4Q|2024-10-17 21:27:51.381282|INDAY|708 3rd Ave, 44th Street, New York, NY 10017|40.75233,-73.97353|157|4.1|10017|Indian
3rZwXDjkyDLAHNSdPUI5WA|2024-10-17 21:27:51.381297|Korai Kitchen|576 Summit Ave, Jersey City, NJ 07306|40.733896,-74.059151|350|4.8|07306|Indian
J0vr8Jpe9t7UgoybpbgkFQ|2024-10-17 21:27:51.381315|Bajeko Sekuwa|43-16 Queens Blvd, Sunnyside, NY 11104|40.7431256,-73.9209581|145|4.3|11104|Indian
EbX_9tqAJs4gW51gZpOB7g|2024-10-17 21:27:51.381332|Rasa|25 W 8th St, New York, NY 10011|40.7327654,-73.9975674|886|4.1|10011|Indian
GoABwVqFoFiXL_sxNtzVQw|2024-10-17 21:27:51.381347|Le Botaniste|156 Columbus Ave, New York, NY 10023|40.774122,-73.9814425|99|4.1|10023|Indian
B6-6ayYh_G1QxWJqTHk4aA|2024-10-17 21:27:51.381363|Dhakaya Restaurant|39-44 21st St, Astoria, NY 11101|40.75573,-73.94099|1|5.0|11101|Indian
1gK-0_lGqjxbwiHWcXXdzg|2024-10-17 21:27:51.381381|abcV|38 E 19th St, New York, NY 10003|40.738058,-73.989289|708|4.0|10003|Indian
Na55QhymZh3cje8Ac2vCvg|2024-10-17 21:27:51.381398|Nimbooda|664 Washington Ave, Brooklyn, NY 11238|40.67825,-73.96419|195|4.1|11238|Indian
